reanalysis_specific_humidity_g_per_kg,reanalysis_dew_point_temp_k,station_avg_temp_c,precipitation_amt_mm,ndvi_avg,quarter_2,quarter_4,ndvi_avg_movingMean,reanalysis_specific_humidity_g_per_kg_movingMean,reanalysis_dew_point_temp_k_movingMean,station_avg_temp_c_movingMean,precipitation_amt_mm_movingMean
14.0128571429,292.414285714,25.4428571429,12.42,0.15060625,1,0,0.12229733352718426,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
15.3728571429,293.951428571,26.714285714299997,22.82,0.15747945000000002,1,0,0.12229733352718426,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
16.8485714286,295.434285714,26.714285714299997,34.54,0.13331490000000001,1,0,0.12229733352718426,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
16.6728571429,295.31,27.471428571399997,15.36,0.2092857,1,0,0.12229733352718426,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
17.21,295.821428571,28.9428571429,7.52,0.239235,1,0,0.12229733352718426,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
17.2128571429,295.851428571,28.1142857143,9.58,0.20363573333333332,1,0,0.12229733352718426,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
17.2342857143,295.86571428599996,27.4142857143,3.48,0.1552607,1,0,0.12229733352718426,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
17.9771428571,296.531428571,28.3714285714,151.12,0.107375,1,0,0.12229733352718426,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
17.79,296.37857142900003,28.3285714286,19.32,0.12444909999999999,1,0,0.12229733352718426,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
18.071428571400002,296.651428571,28.3285714286,14.41,0.1616,0,0,0.16422418333333333,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
17.4185714286,296.041428571,27.5571428571,22.27,0.155024125,0,0,0.1646659708333333,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
17.7371428571,296.33428571400003,28.1285714286,59.17,0.271316675,0,0,0.1760496933333333,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
17.3414285714,295.96,28.1142857143,16.48,0.19093095,0,0,0.18181129833333332,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
17.5942857143,296.172857143,28.2428571429,32.66,0.3360690333333333,0,0,0.19448963166666663,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
17.95,296.532857143,28.2,28.8,0.12254444333333332,0,0,0.18282057599999996,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
18.5157142857,297.035714286,28.0428571429,90.75,0.16774443333333333,0,0,0.17923144599999996,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
18.1742857143,296.728571429,28.342857142899998,32.4,0.17474402500000003,0,0,0.18117977849999997,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
18.5157142857,297.017142857,28.657142857100002,40.94,0.283033925,0,0,0.19874567099999998,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
17.56,296.11714285700003,28.3285714286,28.86,0.23742115,0,0,0.210042876,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
18.7771428571,297.19285714299997,28.6857142857,64.56,0.20918749999999997,0,0,0.214801626,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
17.8928571429,296.43142857099997,28.2428571429,143.73,0.23482440000000002,0,0,0.22278165349999995,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
17.4685714286,296.028571429,28.342857142899998,51.39,0.20516489999999998,0,0,0.21616647599999994,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
18.18,296.664285714,28.771428571399998,31.18,0.20799285,0,1,0.21787266599999996,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
18.5128571429,296.928571429,28.6285714286,51.42,0.14397085,0,1,0.19866284766666664,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
18.1157142857,296.544285714,27.6285714286,143.55,0.1391889,0,1,0.20032729333333332,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
17.75,296.257142857,26.771428571399998,127.03,0.1221768,0,1,0.19577053,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
18.0342857143,296.534285714,27.971428571399997,101.35,0.26239582499999997,0,1,0.20453570999999998,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
18.0742857143,296.564285714,28.471428571399997,20.46,0.17483305,0,1,0.19371562250000002,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
17.0857142857,295.687142857,27.5428571429,20.0,0.23266785,0,1,0.19324029250000002,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
16.752857142899998,295.375714286,26.8,20.04,0.21489165,0,1,0.1938107075,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
16.2085714286,294.81142857099996,26.2,33.61,0.16791577500000002,0,1,0.187119845,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
16.161428571400002,294.782857143,25.985714285700002,9.96,0.179220825,0,1,0.1845254375,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
13.6157142857,292.004285714,24.6857142857,0.0,0.19609535,0,1,0.18333568749999998,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
15.954285714300001,294.55857142900004,25.714285714299997,52.45,0.280896425,0,1,0.19702824499999996,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
13.6828571429,292.10571428599997,25.157142857100002,0.0,0.22815555,0,1,0.20592490999999993,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
13.511428571400002,291.907142857,24.3857142857,0.0,0.15144525,0,0,0.20885175499999992,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
14.671428571400002,293.282857143,24.9142857143,15.85,0.16332780000000002,0,0,0.1989449524999999,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
14.798571428599999,293.412857143,25.2428571429,0.0,0.25713653333333336,0,0,0.20717530083333324,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
13.878571428599999,292.38285714299997,24.714285714299997,0.0,0.26610475,0,0,0.21051899083333328,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
14.0442857143,292.57285714299996,24.8285714286,0.0,0.19439552499999999,0,0,0.2084693783333333,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
14.541428571400001,293.15,25.0571428571,0.0,0.2723774,0,0,0.21891554083333328,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
14.46,292.972857143,25.1428571429,18.05,0.20897145,0,0,0.2218906033333333,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
15.0357142857,293.63142857099996,25.842857142899998,0.0,0.14574443333333334,0,0,0.2168555116666666,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
14.7942857143,293.407142857,25.2571428571,31.79,0.176938325,0,0,0.20645970166666663,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
14.92,293.531428571,26.014285714299998,0.0,0.2347232,0,0,0.20711646666666664,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
14.787142857100001,293.335714286,25.9285714286,0.0,0.22689645,0,0,0.21466158666666663,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
14.7457142857,293.254285714,26.0857142857,0.0,0.153153575,0,0,0.2136441641666666,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
15.148571428599999,293.74,26.0571428571,0.0,0.24979849999999998,0,0,0.21291036083333323,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
13.9914285714,292.48,25.2428571429,12.92,0.21710267499999997,1,0,0.20801015333333323,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
14.9928571429,293.61571428599996,25.3,6.0,0.203675,1,0,0.20893810083333322,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
13.7328571429,292.17,25.514285714299998,44.57,0.13737917500000002,1,0,0.19543827833333322,16.524883063263893,295.0888888371503,26.99707394300708,33.12730160799641
15.4614285714,294.028571429,26.528571428600003,32.72,0.20056906666666666,1,0,0.1945980399999999,16.32678571429039,294.87494505490383,26.867582417590388,32.22173076923077
16.314285714300002,294.97,27.3142857143,0.0,0.180521125,1,0,0.19807570916666656,16.371043956048084,294.92409340655763,26.90357142857885,31.98288461538461
16.185714285699998,294.812857143,26.9285714286,35.38,0.12842409999999999,1,0,0.19322428666666655,16.38667582417885,294.9406593406346,26.9076923077,32.224423076923074
15.9742857143,294.61857142900004,26.528571428600003,4.16,0.11736666666666666,1,0,0.18148863333333326,16.36986263736539,294.92497252746153,26.904120879128847,31.640192307692306
16.5014285714,295.124285714,27.3857142857,51.16,0.10829584250000002,1,0,0.16962857258333325,16.366565934067314,294.92140109888464,26.902472527480768,32.32865384615385
16.6457142857,295.27428571400003,27.9428571429,55.37,0.19274585,1,0,0.17358780008333327,16.35571428571539,294.9108791208654,26.883241758249998,33.24884615384615
16.3242857143,294.92571428599996,28.0714285714,8.08,0.11459464999999999,1,0,0.16006741508333328,16.33862637362693,294.89307692307693,26.882417582425,33.22
